"iso3","country","year","agricultural_land_pct","forest_area_pct","population","urban_population_pct","fertilizer_kg_ha","livestock_index","cereal_yield","ghg_emissions"
"MYS","Malaysia",2021,26.0873535230558,58.0243189773246,34282399,75.5088628191907,2148.04861203669,100.39,3768.1,293.3116
"MYS","Malaysia",2022,26.0873535230558,57.871678587734,34695493,75.9741357073003,1612.10454253553,99.69,3576.5,312.7472
"NGA","Nigeria",2003,72.2903834118383,26.7939457821404,137202644,45.8372080921761,6.01738570508693,83.38,1308.8,369.1864
"NGA","Nigeria",2004,72.4230531308673,26.6146403592565,141057045,46.6994804889599,4.44963777237,86.49,1372.8,359.9911
"NGA","Nigeria",2005,72.6784739286538,26.4353349363725,145017253,47.5656414756863,7.24118271756749,87.33,1421.7,351.6043
"NGA","Nigeria",2006,72.4977041404526,26.2560295134886,149077334,48.424271994461,10.3152677723795,85.91,1507.5,324.0109
"NGA","Nigeria",2007,72.8559424443054,26.0767240906047,153267261,49.2357987173198,4.34054958850607,92.88,1399.8,298.6714
"NGA","Nigeria",2008,72.9272921813411,25.8974186677207,157595014,50.0505212312351,5.89698135295593,95.14,1598.4,303.8215
"NGA","Nigeria",2009,73.3103218156066,25.7181132448368,162049464,50.86453484762,4.56587654588848,98.7,1531.1,287.3889
"NGA","Nigeria",2010,73.4421967126717,25.5388078219529,166642886,51.6778188255446,11.2145520311631,98.36,1528,309.5195
"NGA","Nigeria",2011,73.4914686474082,25.3595023990689,171379598,52.490352424079,6.20177365099664,95.04,1334.4,330.1952
"NGA","Nigeria",2012,73.755240730371,25.180196976185,176200625,53.302114902293,8.42718662333694,90.28,1399,331.6927
"NGA","Nigeria",2013,73.5484116736388,25.0008915533011,181049443,54.1130855192568,8.50913026586002,98.47,1297.3,335.4048
"NGA","Nigeria",2014,73.6946120315777,24.8215861304171,185896915,54.9232435340404,8.95755004713581,99.84,1555.4,346.6176
"NGA","Nigeria",2015,73.9246242190674,24.6422807075332,190671878,55.7325682057138,7.96584203673435,101.97,1527.1,342.3975
"NGA","Nigeria",2016,74.1530467626294,24.4629795667402,195443700,56.541038793347,10.734949763348,98.18,1596.9,336.7501
"NGA","Nigeria",2017,74.3371732709685,24.2836830374299,200254579,57.3486345560101,20.295907079646,100.67,1506.1,334.5341
"NGA","Nigeria",2018,74.7367722915775,24.1043842023782,204938755,58.1553347527729,18.8412959912136,103.97,1549.3,346.5287
"NGA","Nigeria",2019,74.9047952831121,23.9250853673265,209485641,58.9611186427056,18.6103276198742,108.44,1629.7,360.0857
"NGA","Nigeria",2020,75.4191119602095,23.7457865322749,213996181,59.7659654848781,22.5588522456064,111.48,1619.9,333.6847
"NGA","Nigeria",2021,75.6659597922637,23.5664876972232,218529286,60.5698545383604,17.9649598611412,111.54,1621.9,342.7471
"NGA","Nigeria",2022,75.9658687703811,23.3871888621716,223150896,61.3727650622225,7.28113473638533,112.91,1659.5,334.7699
"PHL","Philippines",2003,37.6966160244156,24.0413120032196,84731835,40.3928506135438,166.996378269618,71.13,2823.4,137.6599
"PHL","Philippines",2004,38.4679880605024,23.8838380789483,86394504,40.8507057988121,171.7595703125,72.25,2992.3,140.9301
"PHL","Philippines",2005,38.082302042459,23.7263641546769,88015962,41.3297701258519,156.532467532468,73.6,3049,145.0008
"PHL","Philippines",2006,38.8369051212396,23.5688902304055,89508986,41.8308558715226,143.579243452958,78.29,3180.8,137.5884
"PHL","Philippines",2007,39.5412013281014,23.4114163061341,91075184,42.3470499959497,159.308128544423,83.98,3319.8,146.1958
"PHL","Philippines",2008,40.2790354495757,23.2539423818627,92699095,43.1547492407016,104.973027522936,85.69,3334.3,148.1113
"PHL","Philippines",2009,40.580876681088,23.0964684575913,94384250,44.3356772609527,121.445272727273,86.97,3228.9,150.4794
"PHL","Philippines",2010,40.580876681088,22.9389945333199,96337125,45.5208176726647,151.435471698113,88.99,3231.9,156.6438
"PHL","Philippines",2011,41.1174833148875,23.055994902237,98248614,46.6833632464759,144.86128440367,90.64,3340.6,157.7593
"PHL","Philippines",2012,41.6876278632995,23.172995271154,100175512,47.9182784810426,118.351254480287,93.45,3492.6,163.0728
"PHL","Philippines",2013,41.8184257302881,23.2899956400711,102076336,49.1313688766206,155.874955277281,96.2,3531.8,173.2631
"PHL","Philippines",2014,41.9156856826642,23.4069960089882,103767130,50.2392400212368,157.343470483005,97.2,3637.4,181.1384
"PHL","Philippines",2015,42.0129456350404,23.5239963779052,105312992,51.1549047745227,139.42343470483,101.67,3556.1,190.6338
"PHL","Philippines",2016,42.1102055874166,23.6410101619881,106735719,51.9114748151175,169.625044722719,101.13,3529,202.623
"PHL","Philippines",2017,42.224234497099,23.758023946071,108119693,52.6010482354344,212.598747763864,97.94,3692.3,220.8073
"PHL","Philippines",2018,42.3013717007077,23.8750041922393,109465287,53.2088897464754,169.001073345259,98.19,3670.5,226.906
"PHL","Philippines",2019,42.3785089043163,23.9920179763222,110804683,53.7157859948017,195.484257602862,100.14,3737.9,235.2167
"PHL","Philippines",2020,42.455646107925,24.1090317604051,112081264,54.1077719895977,217.111270125224,94.27,3769.4,225.1449
"PHL","Philippines",2021,42.5361371029949,24.226045544488,113100950,54.4504102510776,232.025402504472,86.51,3832.9,235.613
"PHL","Philippines",2022,42.3925948284536,24.3430593285709,113964338,54.7902343568327,285.425223613596,90.42,3821.5,242.5967
"THA","Thailand",2003,43.4026894243379,37.817338370295,64868166,35.4270354382579,126.544219977553,78.93,2998.8,305.2296
"THA","Thailand",2004,43.5847246961185,38.0277554855253,65452047,36.785516284484,111.829667262171,67.65,2961,327.0301
"THA","Thailand",2005,43.7667599678992,38.2381726007555,66017420,38.1301594392881,96.2122005571031,74.16,3046.8,338.8722
"THA","Thailand",2006,43.9487952396798,38.4485897159858,66567687,39.4424037014582,99.8178020386565,78.95,3009.5,343.8979
"THA","Thailand",2007,44.1288731429466,38.6590068312161,67102394,40.7036878697821,116.771802730566,83.52,3089.4,355.1025
"THA","Thailand",2008,44.3109084147272,38.8694239464464,67619830,41.8954507430475,110.614530776993,83.02,3063.5,356.9906
"THA","Thailand",2009,44.4929436865079,39.0798410616767,68121080,42.9991311200422,109.013734541517,84.14,2995.9,354.2997
"THA","Thailand",2010,44.6749789582885,39.290258176907,68579447,44.0018736622496,139.43669638146,87.86,3071.3,373.9503
"THA","Thailand",2011,44.6828084323436,39.2855604924739,69007208,44.8048723557374,143.798265999285,88.43,3257.2,373.9837
"THA","Thailand",2012,44.6906379063986,39.2808628080409,69436098,45.373565813715,145.71158193878,96.24,3256.6,392.5641
"THA","Thailand",2013,44.6989868660573,39.2761651236078,69845114,45.8321343847773,161.546190362147,98.46,3214,403.8667
"THA","Thailand",2014,44.7102115915363,39.2714674391748,70216367,46.3138799467897,156.825235592872,101.62,3141.1,395.7063
